goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwarp
cpu: Apple M2
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheMiss-8            	 1000000	      8900 ns/op	  60.67 MB/s	    1755 B/op	       4 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheMiss-8            	 3632820	      7395 ns/op	  73.02 MB/s	    1511 B/op	       4 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheMiss-8            	 3778287	       793.4 ns/op	 680.59 MB/s	     667 B/op	       2 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheMiss-8            	 3796836	       401.6 ns/op	1344.74 MB/s	     593 B/op	       2 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheMiss-8            	 3779574	       347.3 ns/op	1554.71 MB/s	     583 B/op	       1 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheHit-8             	51272372	        23.34 ns/op	23134.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheHit-8             	51332230	        23.41 ns/op	23071.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheHit-8             	51311838	        23.22 ns/op	23252.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheHit-8             	51340831	        24.31 ns/op	22217.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheHit-8             	51317778	        23.23 ns/op	23243.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongSimpleASCII_EAtrue_CacheHit-8             	51220671	        23.23 ns/op	23248.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAfalse_NoCache-8           	   20323	     58724 ns/op	  34.91 MB/s	    1389 B/op	       9 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAfalse_NoCache-8           	   20359	     57520 ns/op	  35.64 MB/s	    1389 B/op	       9 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAfalse_NoCache-8           	   21153	     56522 ns/op	  36.27 MB/s	    1389 B/op	       9 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAfalse_NoCache-8           	   21092	     57057 ns/op	  35.93 MB/s	    1389 B/op	       9 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAfalse_NoCache-8           	   21140	     58432 ns/op	  35.08 MB/s	    1393 B/op	       9 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAfalse_NoCache-8           	   20899	     57990 ns/op	  35.35 MB/s	    1389 B/op	       9 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAfalse_CacheMiss-8         	   39164	     27123 ns/op	  75.58 MB/s	    3036 B/op	       6 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAfalse_CacheMiss-8         	 1000000	     56055 ns/op	  36.57 MB/s	    3834 B/op	      10 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAfalse_CacheMiss-8         	 2127958	     31539 ns/op	  65.00 MB/s	    3141 B/op	       6 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAfalse_CacheMiss-8         	 1000000	      1585 ns/op	1293.78 MB/s	    2311 B/op	       1 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAfalse_CacheMiss-8         	 2118603	      1270 ns/op	1614.71 MB/s	    2311 B/op	       1 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAfalse_CacheMiss-8         	  903160	      1462 ns/op	1402.13 MB/s	    2311 B/op	       1 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAfalse_CacheHit-8          	25382924	        45.70 ns/op	44858.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAfalse_CacheHit-8          	26126595	        45.37 ns/op	45186.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAfalse_CacheHit-8          	26560179	        45.24 ns/op	45316.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAfalse_CacheHit-8          	27053048	        44.80 ns/op	45754.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAfalse_CacheHit-8          	27254196	        44.39 ns/op	46179.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAfalse_CacheHit-8          	26900576	        45.44 ns/op	45116.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAtrue_NoCache-8            	   19508	     61743 ns/op	  33.20 MB/s	    1395 B/op	       9 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAtrue_NoCache-8            	   19766	     61315 ns/op	  33.43 MB/s	    1390 B/op	       9 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAtrue_NoCache-8            	   20050	     59986 ns/op	  34.17 MB/s	    1393 B/op	       9 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAtrue_NoCache-8            	   20084	     60508 ns/op	  33.88 MB/s	    1388 B/op	       9 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAtrue_NoCache-8            	   19107	     61793 ns/op	  33.18 MB/s	    1390 B/op	       9 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAtrue_NoCache-8            	   19928	     62942 ns/op	  32.57 MB/s	    1395 B/op	       9 allocs/op
